card_id	quest_relevance	review_status	review_note	source
item.ancient_mace.11061	Used during Another Slice of H.A.M.	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Another Slice of H.A.M.
item.anger_battleaxe.7807	Used during A Soul’s Bane	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Soul’s Bane
item.anger_mace.7808	Used during A Soul’s Bane	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Soul’s Bane
item.anger_spear.7809	Used during A Soul’s Bane	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Soul’s Bane
item.anger_sword.7806	Used during A Soul’s Bane	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Soul’s Bane
item.anti_dragon_shield.1540	Obtained during Dragon Slayer I; quest must be started to equip	approved	Direct quest item and equipment gate	OSRS Wiki: Anti-dragon shield
item.apple_barrel.6094	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.arclight.19675	Used during Desert Treasure II	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Desert Treasure II
item.arctic_pine_logs.10810	Used during The Fremennik Isles	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: The Fremennik Isles
item.ardougne_knight_helm.23785	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.ardougne_knight_platebody.23787	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.ardougne_knight_platelegs.23789	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.armadyl_pendant.87	Used during Temple of Ikov	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Temple of Ikov
item.asgarnian_ale.1905	Used during Death Plateau and Recipe for Disaster	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Death Plateau; Recipe for Disaster
item.asgoldian_ale.7508	Used during Recipe for Disaster	approved	Direct required item in Recipe for Disaster; corrected legacy quest attribution	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Recipe for Disaster; OSRS Wiki: Recipe for Disaster
item.ashes.592	Used during Desert Treasure I, Prince Ali Rescue, Recipe for Disaster and Shades of Mort’ton	approved	Direct required-item associations reviewed across Quest Helper quest definitions; recommendations, alternatives, travel conveniences and conditional rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Desert Treasure I; Prince Ali Rescue; Recipe for Disaster; Shades of Mort’ton
item.assorted_flowers.2460	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.astral_rune.9075	Used during Dragon Slayer II, Dream Mentor, The Fremennik Exiles and While Guthix Sleeps	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Dragon Slayer II; Dream Mentor; The Fremennik Exiles; While Guthix Sleeps
item.attack_mix.11431	Used during Barbarian Training	approved	Direct potion-mix training requirement; dose count omitted from quest relevance	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
item.attack_potion.125	Used during Barbarian Training	approved	Direct potion training requirement; dose count omitted from quest relevance	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
item.avantoe.261	Used during While Guthix Sleeps	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: While Guthix Sleeps
item.ball_of_wool.1759	Used during Enlightened Journey, Monkey Madness I, Prince Ali Rescue, Recipe for Disaster and Sheep Shearer	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Enlightened Journey; Monkey Madness I; Prince Ali Rescue; Recipe for Disaster; Sheep Shearer
item.balloon_toad.7564	Used during Recipe for Disaster	approved	Direct required item in Recipe for Disaster; corrected legacy quest attribution	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Recipe for Disaster; OSRS Wiki: Recipe for Disaster
item.banana.1963	Used during Monkey Madness I, Pirate’s Treasure, Recipe for Disaster and Tai Bwo Wannai Trio	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Monkey Madness I; Pirate’s Treasure; Recipe for Disaster; Tai Bwo Wannai Trio
item.bananas_1.5408	Used during Pirates Treasure	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Pirates Treasure
item.barley_malt.6008	Used during Forgettable Tale…	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Forgettable Tale…
item.barrel.1841	Used during Mourning’s End Part I, Regicide and The Tourist Trap	approved	Direct required-item associations reviewed across multiple Quest Helper quest definitions	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Mourning’s End Part I; Regicide; The Tourist Trap
item.barrelchest_anchor.10887	Used during The Great Brain Robbery	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: The Great Brain Robbery
item.barrows_gloves.7462	Unlocked after completing Recipe for Disaster	approved	Quest reward shop unlock	OSRS Wiki: Barrows gloves
item.bass.365	Used during Family Crest	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Family Crest
item.bat_bones.530	Used during Merlin's Crystal and Watchtower	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Merlin's Crystal; Watchtower
item.beacon_ring.11014	Used during What Lies Below	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: What Lies Below
item.beads_of_the_dead.616	Used during Shilo Village	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Shilo Village
item.bear_fur.948	Used during Getting Ahead and Mourning’s End Part I	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Getting Ahead; Mourning’s End Part I
item.bedsheet.4284	Used during Ghosts Ahoy	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Ghosts Ahoy
item.beer.1917	Used during Forgettable Tale of a Drunken Dwarf, Prince Ali Rescue, The Feud, The Final Dawn, The Hand in the Sand, Tower of Life and Vampyre Slayer	approved	Direct required-item associations reviewed across Quest Helper quest definitions; recommendations, alternatives, travel conveniences and conditional rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Forgettable Tale of a Drunken Dwarf; Prince Ali Rescue; The Feud; The Final Dawn; The Hand in the Sand; Tower of Life; Vampyre Slayer
item.beer_glass.1919	Used during Forgettable Tale of a Drunken Dwarf and The Final Dawn	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Forgettable Tale of a Drunken Dwarf; The Final Dawn
item.big_fishing_net.305	Used during Perilous Moon	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Perilous Moon
item.black_bead.1474	Used during Imp Catcher	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Imp Catcher
item.black_dagger.1217	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.black_dye.4622	Used during Land of the Goblins	approved	Direct reviewed requirement; corrected legacy quest attribution where applicable	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Land of the Goblins; OSRS Wiki: Land of the Goblins
item.black_full_helm.1165	Used during Heroes’ Quest	approved	Direct required-item associations reviewed across multiple Quest Helper quest definitions	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Heroes’ Quest
item.black_goblin_mail.9055	Used during Land of the Goblins	approved	Direct reviewed requirement; corrected legacy quest attribution where applicable	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Land of the Goblins; OSRS Wiki: Land of the Goblins
item.black_knife.869	Used during Biohazard	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Biohazard
item.black_platebody.1125	Used during Heroes’ Quest	approved	Direct required-item associations reviewed across multiple Quest Helper quest definitions	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Heroes’ Quest
item.black_platelegs.1077	Used during Heroes’ Quest	approved	Direct required-item associations reviewed across multiple Quest Helper quest definitions	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Heroes’ Quest
item.blackstone_fragment.28356	Used during Desert Treasure II	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Desert Treasure II
item.blamish_oil.1582	Used during Heroes’ Quest	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Heroes’ Quest
item.blessed_axe.10491	Used during Animal Magnetism	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Animal Magnetism
item.blindweed_seed.6710	Used during Rum Deal	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Rum Deal
item.blisterwood_flail.24699	Used during Sins of the Father	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Sins of the Father
item.blisterwood_logs.24691	Used during Sins of the Father	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Sins of the Father
item.blisterwood_sickle.24697	Used during Sins of the Father	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Sins of the Father
item.bloated_toad.2875	Used during Big Chompy Bird Hunting and Recipe for Disaster	approved	Direct required item shared by Big Chompy Bird Hunting and Recipe for Disaster	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Big Chompy Bird Hunting; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Recipe for Disaster; OSRS Wiki: Recipe for Disaster
item.blood_rune.565	Used during Desert Treasure I, Dragon Slayer II and Swan Song	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Desert Treasure I; Dragon Slayer II; Swan Song
item.blue_dye.1767	Used during Ghosts Ahoy, Goblin Diplomacy, Land of the Goblins and Mourning’s End Part I	approved	Direct required-item associations reviewed across Quest Helper quest definitions; recommendations, alternatives, travel conveniences and conditional rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Ghosts Ahoy; Goblin Diplomacy; Land of the Goblins; Mourning’s End Part I
item.blue_goblin_mail.287	Used during Goblin Diplomacy and Land of the Goblins	approved	Direct reviewed requirement; corrected legacy quest attribution where applicable	OSRS Wiki: Goblin Diplomacy; Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Land of the Goblins; OSRS Wiki: Land of the Goblins
item.blunt_axe.4415	Used during One Small Favour	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: One Small Favour
item.blurite_ore.668	Used during The Knight's Sword	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: The Knight's Sword
item.blurite_sword.667	Used during The Knight's Sword	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: The Knight's Sword
item.body-rune	Used during While Guthix Sleeps	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: While Guthix Sleeps
item.bolt_of_cloth.8790	Used during Making Friends With My Arm	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Making Friends With My Arm
item.bone_in_vinegar.7813	Used during Rag And Bone Man II	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Rag And Bone Man II
item.bone_seeds.7950	Used during Swan Song	approved	Exact quest-item identity; singular source wording mapped to catalogue display	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
item.bones.526	Used during Desert Treasure I, Shilo Village and Swan Song	approved	Direct required-item associations reviewed across Quest Helper quest definitions; recommendations, alternatives, travel conveniences and conditional rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Desert Treasure I; Shilo Village; Swan Song
item.boots_of_lightness.88	Used during Temple of Ikov	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Temple of Ikov
item.bottle_of_fish_bladder_stout.31833	Used during Prying Times	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Prying Times
item.bow_string.1777	Used during Devious Minds	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Devious Minds
item.bow_sword.6818	Used during Devious Minds	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Devious Minds
item.bowl	Used during Enlightened Journey and What Lies Below	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Enlightened Journey; What Lies Below
item.bowl_of_hot_water.4456	Used during One Small Favour	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: One Small Favour
item.bowl_of_water.1921	Used during Recipe for Disaster and Scrambled!	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Recipe for Disaster; Scrambled!
item.box_trap.10008	Used during At First Light	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: At First Light
item.bravery_potion.739	Used during Legends' Quest	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Legends' Quest
item.bread	Used during Below Ice Mountain, Death Plateau, Merlin's Crystal and Recipe for Disaster	approved	Direct required item; consolidated exact active-catalogue match	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Below Ice Mountain, Death Plateau, Merlin's Crystal and Recipe for Disaster
item.broav.29519	Used during While Guthix Sleeps	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: While Guthix Sleeps
item.bronze-bar	Used during Observatory Quest, One Small Favour, Prince Ali Rescue, The Giant Dwarf and The Tourist Trap; Used during Barbarian Training	approved	Direct required item; consolidated exact active-catalogue match; Canonical active-card identity resolved during quest completeness review	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Observatory Quest, One Small Favour, Prince Ali Rescue, The Giant Dwarf and The Tourist Trap; Quest completeness review batch 6
item.bronze_axe	Used during In Aid of the Myreque	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: In Aid of the Myreque
item.bronze_feather.10177	Used during Eagles’ Peak	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Eagles’ Peak
item.bronze_med_helm	Used during Black Knights’ Fortress, King’s Ransom and While Guthix Sleeps	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Black Knights’ Fortress; King’s Ransom; While Guthix Sleeps
item.bronze_nails.4819	Used during The Fremennik Isles	approved	Direct construction-material requirement; singular source wording mapped to stackable catalogue item	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
item.bronze_wire.1794	Used during Creature of Fenkenstrain, Recipe for Disaster and Shilo Village	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Creature of Fenkenstrain; Recipe for Disaster; Shilo Village
item.brown_apron.1757	Used during Swan Song	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Swan Song
item.brulee.7473	Used during Recipe for Disaster	approved	Direct required item in Recipe for Disaster; corrected legacy quest attribution	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Recipe for Disaster; OSRS Wiki: Recipe for Disaster
item.brulee_supreme.7476	Used during Recipe for Disaster	approved	Direct required item in Recipe for Disaster; corrected legacy quest attribution	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Recipe for Disaster; OSRS Wiki: Recipe for Disaster
item.bucket	Used during Clock Tower, Cook's Assistant, Demon Slayer, Getting Ahead, Icthlarin's Little Helper, In Aid of the Myreque, Making Friends with My Arm, Merlin's Crystal, Misthalin Mystery, My Arm's Big Adventure, Priest in Peril, Regicide, Rum Deal, Sleeping Giants, The Feud and Underground Pass	approved	Direct required item; consolidated exact active-catalogue match	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Clock Tower, Cook's Assistant, Demon Slayer, Getting Ahead, Icthlarin's Little Helper, In Aid of the Myreque, Making Friends with My Arm, Merlin's Crystal, Misthalin Mystery, My Arm's Big Adventure, Priest in Peril, Regicide, Rum Deal, Sleeping Giants, The Feud and Underground Pass
item.bucket_of_milk.1927	Used during A Tail of Two Cats, Cook's Assistant, Gertrude’s Cat, Ghosts Ahoy, Plague City, Ratcatchers and Recipe for Disaster	approved	Direct required-item associations reviewed across Quest Helper quest definitions; recommendations, alternatives, travel conveniences and conditional rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: A Tail of Two Cats; Cook's Assistant; Gertrude’s Cat; Ghosts Ahoy; Plague City; Ratcatchers; Recipe for Disaster
item.bucket_of_saltwater.4693	Used during Icthlarin’s Little Helper	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Icthlarin’s Little Helper
item.bucket_of_sand.1783	Used during The Hand in the Sand	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: The Hand in the Sand
item.bucket_of_sap.4687	Used during Icthlarin’s Little Helper	approved	Quest-specific required item	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Icthlarin’s Little Helper
item.bucket_of_slime.4286	Used during Ghosts Ahoy	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Ghosts Ahoy
item.bucket_of_water.1929	Used during Demon Slayer I, Forgettable Tale of a Drunken Dwarf, Getting Ahead, Making Friends with My Arm, Mourning’s End Part I, Plague City, Prince Ali Rescue, Recipe for Disaster, Rum Deal, Skippy and the Mogres, Sleeping Giants and Temple of the Eye	approved	Direct required-item associations reviewed across Quest Helper quest and miniquest definitions; teleports, recommendations, alternatives, diary/skill helpers and conditional rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Demon Slayer I; Forgettable Tale of a Drunken Dwarf; Getting Ahead; Making Friends with My Arm; Mourning’s End Part I; Plague City; Prince Ali Rescue; Recipe for Disaster; Rum Deal; Skippy and the Mogres; Sleeping Giants; Temple of the Eye
item.bucket_of_wax.30	Used during Merlin's Crystal and Troll Romance	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Merlin's Crystal; Troll Romance
item.builder_s_boots.10865	Used during Tower Of Life	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Tower Of Life
item.builder_s_shirt.10863	Used during Tower Of Life	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Tower Of Life
item.builder_s_trousers.10864	Used during Tower Of Life	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Tower Of Life
item.bullseye_lantern.4548	Used during Lunar Diplomacy	approved	Exact catalogue-name match to direct required-item rows; variants, recommendations, alternatives, teleports, diary/skill helpers and ambiguous quantity rows excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Lunar Diplomacy
item.burnt_jogre_bones.3127	Used during Tai Bwo Wannai Trio	approved	Direct required-item association; unique to one quest in pinned Quest Helper dataset	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Tai Bwo Wannai Trio
item.burnt_meat.2146	Used during Witch's Potion	approved	Direct required item; general obtainable item rather than temporary quest state	Quest Helper pinned source; quest catalogue-gap review
item.butler_s_uniform.29914	Used during Death on the Isle	approved	Direct required outfit; the active catalogue family consolidates the quest shirt and trousers into one Butler's uniform card	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Death on the Isle
item.cabbage.1965	Used during Big Chompy Bird Hunting, Black Knights' Fortress, Song of the Elves and The Fremennik Trials	approved	Direct required-item associations reviewed across Quest Helper quest definitions; travel conveniences, alternatives and diary/skill helpers excluded	Quest Helper 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d: Big Chompy Bird Hunting; Black Knights' Fortress; Song of the Elves; The Fremennik Trials
item.cabbage_seed.5324	Used during Garden of Tranquillity	approved	Direct seed requirement; uncertain safety quantity omitted from runtime wording	Quest Helper pinned source 5ea99d5ea9ba3fb096ebe7b5ed02d80883e9819d
